Make,Model,Model w/ Mark w/ Edition,Production From,Production To,Legacy Note,GUID,Facelift Of GUID
BMW,3,3 E36 Sedan,90,98,,31fa4c3f-5f5f-4ec5-ab91-bb0563875315,
BMW,3,3 E36 Coupé,92,99,,c469a520-ad02-40fb-a314-a3d06e33bf1d,
BMW,3,3 E36 Compact,93,00,,dc3c2bbc-22db-4f42-90ea-d303a5183487,
BMW,3,3 E36 Cabrio,93,99,,23008b6b-10d6-45f3-8fb4-2fbc5dfa006a,
BMW,3,3 E36 Touring,94,99,,109f8bca-7c37-433a-bd10-3ac845ade014,
BMW,3,3 E46 Sedan,98,01,,d17e2b75-5e22-4689-8067-16a836ee163a,
BMW,3,3 E46 Touring,99,01,,44739d16-5ff8-4038-96af-895e6c938365,
BMW,3,3 E46 Coupé,99,03,,0cd17cb6-0269-4651-b2b7-ddec09946da3,
BMW,3,3 E46 Cabrio,00,03,,56359fcb-62f6-43b5-8924-71e02bd5dab4,
BMW,3,3 E46 Compact,00,04,,b6df4b02-3670-4b1d-893d-01a147a4071e,
BMW,3,3 E46 Sedan,01,05,Facelift,c589aed4-9924-4920-abd1-6ba728b24e48,d17e2b75-5e22-4689-8067-16a836ee163a
BMW,3,3 E46 Touring,02,05,Facelift,3ac801e5-6ba6-4af6-8497-d06813b59e46,44739d16-5ff8-4038-96af-895e6c938365
BMW,3,3 E46 Coupé,03,03,Facelift,39bd10cf-a061-4c29-b826-f3b939db68bf,0cd17cb6-0269-4651-b2b7-ddec09946da3
BMW,3,3 E46 Cabrio,03,03,Facelift,bcea91f6-31df-4ab9-a261-d9e8bd6c4a74,56359fcb-62f6-43b5-8924-71e02bd5dab4
BMW,3,3 E90 Sedan,05,08,,7e5b765b-c161-4a34-8ddf-0e48b35ca903,
BMW,3,3 E91 Touring,05,08,,d821c7dc-6ebb-4861-b5ab-91f8deacbf20,
BMW,3,3 E92 Coupé,06,10,,d921d48a-0e1a-497d-a26d-c8af8b496d28,
BMW,3,3 E93 Cabrio,07,10,,941c9649-b564-40ce-8daf-8327d2dda990,
BMW,3,3 E90 Sedan,08,,Facelift,365e5007-bd05-43c8-8fc2-6547983db115,7e5b765b-c161-4a34-8ddf-0e48b35ca903
BMW,3,3 E91 Touring,08,,Facelift,b60195dd-932f-4acc-9adb-979adb385aa2,d821c7dc-6ebb-4861-b5ab-91f8deacbf20
BMW,3,3 E92 Coupé,10,,Facelift,a4c13557-4f70-4743-a3ff-e4d5c5838a86,d921d48a-0e1a-497d-a26d-c8af8b496d28
BMW,3,3 E93 Cabrio,10,,Facelift,60c91992-8fd4-4457-9b2a-2fafe4ab379b,941c9649-b564-40ce-8daf-8327d2dda990
BMW,3,3 F30 Sedan,12,15,,7401e9b2-0ffe-498a-a699-53f6ac8e74f1,
BMW,3,3 F31 Touring,12,15,,4208675d-36c7-4913-afca-0e304d02154c,
BMW,3,3 F34 GT,13,15,,b5e7689f-58d7-4fcf-83aa-cc1aaf7a9e03,
BMW,3,3 F30 Sedan,15,18,Facelift,83a98106-7495-451b-90e2-8154f81fa4f6,7401e9b2-0ffe-498a-a699-53f6ac8e74f1
BMW,3,3 F31 Touring,15,18,Facelift,db13b5f7-a80a-4a0b-9cc3-875739746932,4208675d-36c7-4913-afca-0e304d02154c
BMW,3,3 F34 GT,15,18,Facelift,9847cb42-ade3-4fbe-ac80-aee5f22ee497,b5e7689f-58d7-4fcf-83aa-cc1aaf7a9e03
BMW,3,3 G20 Sedan,18,,,7a3d3260-c759-4d35-968c-a04c86a72014,
